iter	Passed	Remaining
919	26908	2339
920	26940	2310
921	26968	2281
922	27003	2252
923	27033	2223
924	27059	2193
925	27098	2165
926	27123	2135
927	27152	2106
928	27187	2077
929	27217	2048
930	27248	2019
931	27275	1990
932	27300	1960
933	27324	1930
934	27360	1902
935	27386	1872
936	27417	1843
937	27444	1814
938	27465	1784
939	27495	1755
940	27518	1725
941	27542	1695
942	27567	1666
943	27602	1637
944	27631	1608
945	27657	1578
946	27680	1549
947	27714	1520
948	27743	1490
949	27768	1461
950	27794	1432
951	27821	1402
952	27848	1373
953	27879	1344
954	27916	1315
955	27940	1285
956	27969	1256
957	28004	1227
958	28036	1198
959	28069	1169
960	28092	1140
961	28123	1110
962	28148	1081
963	28180	1052
964	28208	1023
965	28232	993
966	28265	964
967	28294	935
968	28315	905
969	28344	876
970	28365	847
971	28392	817
972	28425	788
973	28455	759
974	28490	730
975	28521	701
976	28550	672
977	28574	642
978	28609	613
979	28636	584
980	28661	555
981	28690	525
982	28718	496
983	28745	467
984	28778	438
985	28806	409
986	28833	379
987	28866	350
988	28891	321
989	28926	292
990	28957	262
991	28985	233
992	29021	204
993	29051	175
994	29082	146
995	29116	116
996	29142	87
997	29174	58
998	29200	29
999	29233	0
